Date,Condition,Time,PW RAP_12Z,PW RAP_00Z,KRAP_Time,KRAP_RH,KRAP_Temp,KRAP_Dewpoint,AMES 2 (Sky),AMES 2 (Ground),comments
2021-05-28,overcast,15:29,6.73,14.23,12:00,59,17.0,9.0,-8.7,26.8,Very thin high cloud
2021-05-29,clear sky,15:49,19.88,15.84,12:00,32,19.0,2.0,17.8,26,
2021-05-30,overcast,16:34,8.89,11.35,12:00,31,23.0,5.0,9.2,40,low fluffy cloud 
2021-05-31,clear sky,15:21,11.88,12.91,12:00,34,24.0,7.0,-13,39.4,
2021-06-01,clear sky,15:59,19.69,15.26,12:00,28,26.0,6.0,-6.8,42.2,
2021-06-02,NaN,NaT,17.01,16.61,NaT,NaN,NaN,NaN,-Inf,-Inf,
2021-06-03,clear sky,16:32,16.95,17.01,12:00,26,33.0,11.0,-5.6,46.1,
2021-06-04,clear sky,16:50,14.72,20.03,12:00,33,31.0,13.0,-0.1,49.5,
2021-06-05,clear sky,15:10,21.27,27.61,12:00,33,23.0,6.0,8,49.6,
2021-06-06,clear sky,16:24,15.69,15.65,12:00,31,31.0,12.0,-7.1,46.3,
2021-06-07,overcast,16:16,20.08,25.35,12:00,43,31.0,17.0,3.8,42.3,high thin cloud
2021-06-08,overcast,16:10,27.3,27.49,12:00,51,27.0,16.0,16.6,48.4,thin fluffy cloud
2021-06-09,overcast,16:07,20.03,17.44,12:00,49,31.0,19.0,0.6,46.2,thin high clouds
2021-06-10,clear sky,16:32,20.35,21.83,12:00,33,21.0,4.0,4.5,47.9,
2021-06-11,clear sky,16:02,8.09,14.78,12:00,39,24.0,9.0,-11.6,45.6,
2021-06-12,clear sky,15:05,13.01,13.09,12:00,42,27.0,13.0,-6.4,47.3,
2021-06-13,clear sky,15:04,22.58,28.43,12:00,40,29.0,14.0,5.6,50.3,
2021-06-14,clear sky,15:49,25.86,26.19,12:00,28,34.0,13.0,2.2,40.3,
2021-06-15,clear sky,16:28,24.99,23.53,12:00,29,29.0,9.0,2.4,46.1,
2021-06-16,clear sky,15:20,11.5,18.69,12:00,28,27.0,7.0,-1,50.3,
2021-06-17,overcast,15:30,21.98,20.44,12:00,25,29.0,7.0,4.6,53.3,high fluffy 
2021-06-18,overcast,16:10,19.4,16.99,12:00,32,25.0,7.0,14.6,48.8,low 
2021-06-19,overcast,15:21,21.81,22.55,12:00,63,17.0,10.0,6.4,36.4,low fluffy
2021-06-20,clear sky,15:12,22.22,18.7,12:00,27,22.0,2.0,-10.8,29.9,
2021-06-21,clear sky,15:36,13.71,13.0,12:00,21,27.0,3.0,-11,35.8,
2021-06-22,clear sky,15:11,13.11,16.0,12:00,16,34.0,5.0,-5.1,47.4,
2021-06-23,clear sky,15:44,19.14,22.76,12:00,30,27.0,8.0,2.3,47.6,
2021-06-24,overcast,15:37,25.11,22.95,12:00,73,18.0,13.0,10.1,35.2,low thick
2021-06-25,overcast,15:34,29.03,25.24,12:00,36,23.0,7.0,7,31.7,low thin
2021-06-26,overcast,16:40,14.25,23.2,12:00,41,25.0,11.0,9.8,26.7,low
2021-06-27,clear sky,15:03,21.55,22.36,12:00,39,24.0,9.0,-6.5,43.1,
